d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.647232652,0.352767318,0.565778673,0.434221298,0.313953488,52
0.539748967,0.460251033,0.688939095,0.311060876,0.28125,79
0.534907222,0.465092689,0.438199192,0.561800838,0.220930233,29
0.352618843,0.647381127,0.485562414,0.514437556,0.212765957,49
0.2689825,0.73101753,0.420802027,0.579198003,0.11827957,16
0.337170899,0.662829101,0.263279557,0.736720502,0.245283019,61
0.59131068,0.40868929,0.73085767,0.26914233,0.229885057,22
0.394206494,0.605793476,0.591145873,0.408854157,0.18627451,28
0.580691516,0.419308484,0.277474284,0.722525775,0.153846154,45
0.353832364,0.646167636,0.158983305,0.84101665,0.236363636,42
0.481786638,0.518213332,0.375972629,0.624027371,0.283018868,43
0.493842006,0.506157935,0.539694965,0.460305035,0.117241379,48
0.783253968,0.216746047,0.50607276,0.49392727,0.276315789,81
0.365356982,0.634643078,0.577748299,0.422251672,0.125,15
0.400678217,0.599321783,0.371245891,0.628754139,0.169354839,42
0.307174534,0.692825437,0.707145989,0.292853951,0.227272727,15
0.493779749,0.506220222,0.529911637,0.470088363,0.073170732,10
0.544058621,0.455941319,0.495159745,0.504840255,0.22,33
0.438468099,0.561531901,0.343432069,0.656567872,0.20212766,17
0.634275973,0.365724057,0.550685048,0.449314952,0.221052632,27
0.657986939,0.342013091,0.611177921,0.388822109,0.2,33
0.699801981,0.300198019,0.704750717,0.295249283,0.227272727,23
0.312485576,0.687514424,0.686135352,0.313864648,0.25,40
0.449058384,0.550941586,0.624405563,0.375594437,0.268041237,67
0.294066787,0.705933213,0.402514517,0.597485483,0.213483146,33
0.390314043,0.609685957,0.555402398,0.444597661,0.220930233,21
0.715049446,0.284950554,0.378719747,0.621280253,0.328767123,49
0.507916749,0.492083281,0.635458171,0.364541858,0.109243697,20
0.537275136,0.462724894,0.755694568,0.244305432,0.172661871,68
0.441640943,0.558358967,0.589389622,0.410610408,0.346153846,66
0.342958957,0.657041013,0.508597374,0.491402656,0.253012048,32
0.442795813,0.557204187,0.588381588,0.411618382,0.173913043,26
0.631057382,0.368942648,0.34260264,0.65739733,0.169491525,41
0.41492942,0.58507061,0.539934993,0.460064977,0.234042553,46
0.397946298,0.602053702,0.655870378,0.344129711,0.141666667,26
0.470554858,0.529445112,0.399317205,0.600682735,0.066037736,7
0.449638605,0.550361395,0.41122812,0.58877188,0.159574468,18
0.235716656,0.764283359,0.340219826,0.659780204,0.194444444,39
0.238919139,0.761080861,0.446806878,0.553193152,0.13559322,15
0.809416831,0.190583199,0.554442406,0.445557564,0.193548387,25
0.416770607,0.583229363,0.360884994,0.639114976,0.12,11
0.531816959,0.46818313,0.340986937,0.659013033,0.151515152,51
0.506333828,0.493666202,0.327684343,0.672315717,0.224719101,80
0.440070361,0.559929609,0.463184863,0.536815107,0.276315789,119
0.53549546,0.46450457,0.511963308,0.488036692,0.266666667,54
0.588276267,0.411723793,0.552337229,0.44766283,0.292035398,86
0.588483274,0.411516666,0.384656549,0.615343451,0.263636364,102
0.61246717,0.387532741,0.417388022,0.582611978,0.231481481,61
0.395851225,0.604148746,0.675713956,0.324286044,0.246575342,216
0.670307577,0.329692364,0.542677999,0.457322001,0.104761905,46
0.351753235,0.648246825,0.536746979,0.463253081,0.296296296,97
0.61275506,0.38724494,0.707621336,0.292378724,0.166666667,27
0.607945323,0.392054707,0.502850413,0.497149587,0.340909091,113
0.444435686,0.555564225,0.495521039,0.504478931,0.280991736,97
0.407525748,0.592474282,0.279341608,0.720658422,0.183908046,34
0.660564423,0.339435548,0.296182424,0.703817606,0.088495575,23
0.441041946,0.558958054,0.719518542,0.280481368,0.1953125,50
0.415093035,0.584906936,0.403225929,0.596774101,0.18627451,21
0.263835937,0.736164093,0.491932988,0.508067012,0.103448276,7
0.502137244,0.497862756,0.491059184,0.508940816,0.194029851,34
0.532635152,0.467364877,0.380156964,0.619843066,0.161290323,21
0.341652304,0.658347666,0.497020602,0.502979398,0.163636364,22
0.491325706,0.508674264,0.397966415,0.602033675,0.208791209,25
0.316744834,0.683255196,0.423191726,0.576808274,0.24137931,26
0.728691697,0.271308273,0.647629619,0.352370322,0.24,31
0.330468118,0.669531882,0.554622769,0.44537729,0.148148148,24
0.458493561,0.54150641,0.502363443,0.497636646,0.232758621,33
0.734864056,0.265135884,0.490791261,0.509208739,0.141304348,28
0.56453681,0.43546322,0.510581255,0.489418715,0.082352941,10
0.665446639,0.33455345,0.456235021,0.543765008,0.259615385,20
0.435726404,0.564273655,0.426958233,0.573041797,0.117647059,15
0.434165299,0.565834761,0.406324595,0.593675375,0.070588235,9
0.697500527,0.302499503,0.398617238,0.601382792,0.087912088,16
0.665133297,0.334866703,0.455372423,0.544627607,0.172043011,27
0.430006564,0.569993436,0.372008473,0.627991557,0.15625,19
0.547839761,0.452160239,0.383486301,0.616513729,0.239130435,55
0.71264714,0.28735283,0.304107487,0.695892453,0.324786325,51
0.645634353,0.354365647,0.465970367,0.534029543,0.277777778,205
0.725472271,0.274527788,0.561468482,0.438531518,0.358333333,251
0.282592505,0.717407465,0.748268723,0.251731306,0.402173913,97
0.365710497,0.634289503,0.493966907,0.506033063,0.271028037,132
0.7378456,0.26215443,0.783570766,0.216429159,0.148760331,21
0.612642705,0.387357235,0.527006745,0.472993225,0.141414141,23
0.528181553,0.471818477,0.479110301,0.520889699,0.233009709,47
0.423472375,0.576527596,0.557317913,0.442682028,0.21978022,61
0.592740655,0.407259345,0.737438083,0.262561947,0.194805195,40
0.491026461,0.508973539,0.419178009,0.580822051,0.242105263,60
0.627097845,0.372902095,0.729744375,0.270255625,0.234567901,24
